School #,School Name
404,GIANNINI MS         
405,LINCOLN HS          
407,EVENING HS          
413,ALAMO ES            
420,ALVARADO ES         
431,APTOS MS            
435,ARGONNE ES          
439,BALBOA HS           
441,BAYVIEW SPC SVC CTR 
445,BAYVIEW ESSENTIAL   
449,CARMICHAEL K-8      
453,HARTE ES            
456,BRYANT ES           
458,EARLY MORNING STUDY 
459,CYBER HIGH          
460,COMMUNITY YOUTH CTR 
466,INDEPENDENCE HS     
476,CHINESE ED CTR ES   
478,CLARENDON ES        
479,LILIENTHAL K-8      
481,CLEVELAND ES        
482,COUNTY COMMUNITY MS 
483,COUNTY COMMUNITY HS 
484,CITY ARTS TECH CHART
485,YU K-8              
486,COMMUNITY HOME BASED
487,WALDEN HOUSE        
488,SLOAT ES            
489,BACK ON TRACK       
490,LAU ES              
493,S F COMMUNITY K-8   
494,MILTON MYER         
496,MISSION PARK        
497,WEBSTER ES          
498,CARE PROGRAM        
500,O'CONNELL CD        
502,SOUTHEAST CD        
505,MILK ES             
507,DREW ES             
509,CHINESE IMMERSION ES
513,TAYLOR ES           
518,ENVISIONS           
521,EL DORADO ES        
522,ELLA HILL HUTCH     
525,COBB ES             
529,EVERETT MS          
530,ESCALON             
537,FAIRMOUNT ES        
539,FEINSTEIN ES        
543,FIVE KEYS CHARTER   
544,KEY ES              
545,CRITTENTON          
546,FRANCISCO MS        
547,KEY ANNEX ES        
549,MCCOPPIN ES         
551,5 KEYS INDEPENDENCE 
552,5 KEYS ADULT SCHOOL 
559,GALILEO HS          
562,GARFIELD ES         
565,GATEWAY HS CHARTER  
566,GATEWAY MS CHARTER  
569,PEABODY ES          
571,WASHINGTON HS       
575,GLEN PARK ES        
589,GRATTAN ES          
593,GUADALUPE ES        
601,HANCOCK/COOPER      
603,CHAVEZ ES           
607,HOOVER MS           
614,HILLCREST ES        
616,HILLTOP SPEC SVC CTR
618,BUENA VISTA/MANN K-8
621,S F INTERNATIONAL HS
624,INT'L STUDIES ACAD  
625,CARVER ES           
632,DENMAN MS           
634,LICK MS             
635,JAMESTOWN LC HS     
638,PARKER ES           
644,JEFFERSON ES        
646,ROBERTS DEVL CTR    
648,MCLAREN PARK CCD    
650,MUIR ES             
651,O'CONNELL HS        
656,SERRA ES            
657,KIPP-SF BAY CHARTER 
658,KIPP-BAYVIEW CHARTER
661,KIPP-SF COLLEGE PREP
664,LAFAYETTE ES        
670,LAKESHORE ES        
672,LARKIN ST YOUTH CTR 
673,LANGLEY PORTER      
676,LAWTON K-8          
678,LEADERSHIP HS CHART 
680,FLYNN ES            
681,LIFE LEARNING CHART 
688,LOG CABIN HS        
691,LONGFELLOW ES       
694,LOMBARD HS          
697,LOWELL HS           
704,MCLAREN TK          
705,HARTE TK            
706,TENDERLOIN TK       
708,MARINA MS           
710,KING JR MS          
714,MARSHALL ES         
718,MCKINLEY ES         
720,METRO ARTS & TECH   
722,MIRALOMA ES         
723,MOSCONE ES          
724,MISSION ED CTR ES   
725,MISSION HS          
729,MONROE ES           
732,YWCA SPEC SVC CTR   
735,NEW TRADITIONS ES   
740,OAKES CC            
742,DOWNTOWN HS         
743,WELLS HS            
746,ORTEGA ES           
750,SUNSET ES           
752,NORIEGA TK          
757,JORDAN HS           
760,REVERE K-8          
764,BURTON HS           
768,IMPACT COMMUNITY HS 
769,PHOENIX ACADEMY     
778,PRESIDIO MS         
782,STEVENSON ES        
785,WALLENBERG HS       
786,PARKS ES            
789,RAP                 
790,REDDING ES          
796,ROOFTOP K-8         
797,ROOSEVELT MS        
798,S F RENAISSANCE EC  
801,WO ES               
809,CREATIVE ARTS K-8 CH
813,18-22 MILD/MOD PROG 
814,MONTESSORI ES       
815,ASAWA SOTA HS       
816,SANCHEZ ES          
817,SCHOOL TO CAREERS   
820,SHERIDAN ES         
821,SAND PATHS HS       
823,SHERMAN ES          
824,SP-HOME HOSPITAL    
825,SP-NOT IN SCHOOL    
827,SP-PRIVATE/PAROCHIAL
828,ACCESS              
829,SP-NPS              
830,MALCOLM X ES        
831,OPERATION STAY IN SC
832,THE ACADEMY SF      
834,SPRING VALLEY ES    
838,STARR KING ES       
840,ST ELIZABETH SSC    
842,SUNNYSIDE ES        
844,ALVARADO TK         
845,ARGONNE TK          
848,SUTRO ES            
849,DREW TK             
850,THERAPEUTIC EC      
853,MARSHALL HS         
857,MISSION PREP K8 CHAR
858,BROWN JR MS         
859,TENDERLOIN ES       
860,TULE ELK PARK TK    
862,ULLOA ES            
864,UCSF CHILD LIFE     
865,HAVARD TK           
867,VISITACION VALLEY ES
868,VISITACION VALLEY MS
872,CHIN ES             
874,STOCKTON TK         
875,PRESIDIO TK         
876,WEST PORTAL ES      
879,SERRA ANNEX TK      
880,FLYNN TK            
881,ULLOA TK            
882,STEVENSON TK        
883,CARMICHAEL TK       
884,SHERIDAN TK         
890,REDDING TK          
892,WOODSIDE LEARN CTR  
895,RODRIGUEZ TK        
